"key","ko","note"
"quest_main_a1_01_arrival_title","안개 건너 뭍으로",""
"quest_main_a1_01_arrival_desc","드디어 이슬란드에 도착했다. 테오를 따라 짐부터 챙기자.",""
"quest_main_a1_01_arrival_obj_01","테오와 대화하기",""
"quest_main_a1_01_arrival_obj_02","짐 더미 살펴보기",""
"quest_main_a1_02_firstlook_title","초원의 첫인사",""
"quest_main_a1_02_firstlook_desc","하틀랜드로 가는 길, 민들레 마을에 무엇이 있는지 둘러보자.",""
"quest_main_a1_02_firstlook_obj_01","민들레 마을로 이동하기",""
"quest_main_a1_02_firstlook_obj_02","머루 할머니와 대화하기",""
"quest_main_a1_03_shadowfall_title","그림자가 내려앉다",""
"quest_main_a1_03_shadowfall_desc","안개에 물든 들짐승들이 마을을 덮쳤다! 맞서 싸우자.",""
"quest_main_a1_03_shadowfall_obj_01","안개 들짐승 4마리 처치하기",""
"quest_main_a1_04_theshard_title","파편이 답하다",""
"quest_main_a1_04_theshard_desc","결계석 앞에서 이상한 일이 벌어졌다. 가까이 가보자.",""
"quest_main_a1_04_theshard_obj_01","결계석으로 이동하기",""
"quest_main_a1_04_theshard_obj_02","결계석 살펴보기",""
"quest_main_a1_05_reclaim_title","마을을 되찾다",""
"quest_main_a1_05_reclaim_desc","습격의 잔당이 아직 남아있다. 마을을 완전히 되찾자.",""
"quest_main_a1_05_reclaim_obj_01","정예 몬스터 처치하기",""
"quest_main_a1_05_reclaim_obj_02","마을 광장으로 이동하기",""
"quest_main_a1_06_echocave_title","메아리 굴",""
"quest_main_a1_06_echocave_desc","테오는 못 들어간대. 대신 다녀오자 — 스킬도 하나 챙기고.",""
"quest_main_a1_06_echocave_obj_01","테오와 대화하기",""
"quest_main_a1_06_echocave_obj_02","메아리 굴 입구로 이동하기",""
"quest_main_a1_06_echocave_obj_03","동굴 장치 조작하기",""
"quest_main_a1_06_echocave_obj_04","보물 상자 열기",""
"quest_main_a1_07_fiveroads_title","다섯 개의 길",""
"quest_main_a1_07_fiveroads_desc","다섯 지방 모두에 성물이 잠들어 있다고 한다. 어디부터 갈까?",""
"quest_main_a1_07_fiveroads_obj_01","결계석으로 이동하기",""
"quest_main_a1_07_fiveroads_obj_02","테오와 대화하기",""
"quest_side_heartland_montsil_title","몽실이를 찾아서",""
"quest_side_heartland_montsil_desc","다미의 뿔토끼 몽실이가 사라졌다. 찾아서 데려다주자.",""
"quest_side_heartland_montsil_obj_01","다미와 대화하기",""
"quest_side_heartland_montsil_obj_02","목초지 경계로 이동하기",""
"quest_side_heartland_montsil_obj_03","몽실이에게 다가가기",""
"quest_side_heartland_montsil_choice_release","그냥 놓아준다",""
"quest_side_heartland_montsil_choice_capture","붙잡아 본다","저강도 미니게임 or 대치 후 퇴각, 결과는 release와 동일하게 수렴"
"quest_side_heartland_festival_prep_title","목자 시험: 민들레제 리본",""
"quest_side_heartland_festival_prep_desc","민들레제가 코앞인데 로젤 혼자 정신이 없다. 손을 보태자.",""
"quest_side_heartland_festival_prep_obj_01","로젤과 대화하기",""
"quest_side_heartland_festival_prep_obj_02","목초지의 들짐승 3마리 처치하기",""
"quest_side_heartland_festival_prep_obj_03","민들레제 리본 재료 5개 채집하기",""
"quest_side_heartland_festival_prep_line_01","일손이 모자라서.../ 혹시 좀 도와줄래?","수주 대사(로젤), 신규"
"quest_side_heartland_orefetch_title","핀토의 첫 담금질",""
"quest_side_heartland_orefetch_desc","핀토가 첫 작품을 만들겠다며 광석을 구해달라 부탁한다.",""
"quest_side_heartland_orefetch_obj_01","핀토와 대화하기",""
"quest_side_heartland_orefetch_obj_02","버섯돌이 3마리 처치하기",""
"quest_side_heartland_orefetch_obj_03","철광석 4개 채집하기",""
